UserEmail,ActivityType,DurationMinutes,LoggedAt
bryan.parker-carter180@example.com,Gym,47,2025-07-27 19:00:00
bryan.parker-carter180@example.com,Stretching,33,2025-07-29 19:00:00
bryan.parker-carter180@example.com,Tennis,38,2025-07-31 19:00:00
bryan.parker-carter180@example.com,Stretching,47,2025-08-01 19:00:00
bryan.parker-carter180@example.com,Walk,50,2025-08-03 19:00:00
bryan.parker-carter180@example.com,Run,20,2025-08-04 19:00:00
bryan.parker-carter180@example.com,Study Break,16,2025-08-05 19:00:00
bryan.parker-carter180@example.com,Study Break,59,2025-08-07 19:00:00
bryan.parker-carter180@example.com,Run,32,2025-08-08 19:00:00
bryan.parker-carter180@example.com,Run,38,2025-08-10 19:00:00
bryan.parker-carter180@example.com,Gym,24,2025-08-11 19:00:00
bryan.parker-carter180@example.com,Study Break,15,2025-08-12 19:00:00
bryan.parker-carter180@example.com,Run,18,2025-08-15 19:00:00
bryan.parker-carter180@example.com,Yoga,29,2025-08-17 19:00:00
bryan.parker-carter180@example.com,Meditation,52,2025-08-18 19:00:00
bryan.parker-carter180@example.com,Cycling,52,2025-08-21 19:00:00
bryan.parker-carter180@example.com,Run,35,2025-08-25 19:00:00
bryan.parker-carter180@example.com,Walk,59,2025-08-26 19:00:00
bryan.parker-carter180@example.com,Meditation,55,2025-08-30 19:00:00
bryan.parker-carter180@example.com,Walk,19,2025-08-31 19:00:00
bryan.parker-carter180@example.com,Walk,41,2025-09-01 19:00:00
bryan.parker-carter180@example.com,Study Break,36,2025-09-03 19:00:00
bryan.parker-carter180@example.com,Run,64,2025-09-04 19:00:00
bryan.parker-carter180@example.com,Gym,44,2025-09-07 19:00:00
bryan.parker-carter180@example.com,Stretching,48,2025-09-08 19:00:00
bryan.parker-carter180@example.com,Yoga,36,2025-09-09 19:00:00
bryan.parker-carter180@example.com,Run,28,2025-09-10 19:00:00
bryan.parker-carter180@example.com,Cycling,19,2025-09-12 19:00:00
bryan.parker-carter180@example.com,Meditation,27,2025-09-13 19:00:00
bryan.parker-carter180@example.com,Walk,38,2025-09-16 19:00:00
bryan.parker-carter180@example.com,Meditation,25,2025-09-18 19:00:00
bryan.parker-carter180@example.com,Stretching,56,2025-09-20 19:00:00
bryan.parker-carter180@example.com,Yoga,18,2025-09-24 19:00:00
bryan.parker-carter180@example.com,Study Break,10,2025-09-25 19:00:00
bryan.parker-carter180@example.com,Study Break,40,2025-09-26 19:00:00
bryan.parker-carter180@example.com,Tennis,53,2025-09-27 19:00:00
bryan.parker-carter180@example.com,Cycling,10,2025-09-29 19:00:00
bryan.parker-carter180@example.com,Meditation,44,2025-09-30 19:00:00
bryan.parker-carter180@example.com,Run,10,2025-10-01 19:00:00
bryan.parker-carter180@example.com,Run,41,2025-10-02 19:00:00
bryan.parker-carter180@example.com,Stretching,26,2025-10-05 19:00:00
bryan.parker-carter180@example.com,Cycling,38,2025-10-06 19:00:00
bryan.parker-carter180@example.com,Run,18,2025-10-07 19:00:00
bryan.parker-carter180@example.com,Tennis,26,2025-10-09 19:00:00
bryan.parker-carter180@example.com,Gym,17,2025-10-10 19:00:00
bryan.parker-carter180@example.com,Yoga,56,2025-10-12 19:00:00
bryan.parker-carter180@example.com,Walk,41,2025-10-14 19:00:00
bryan.parker-carter180@example.com,Meditation,26,2025-10-15 19:00:00
bryan.parker-carter180@example.com,Yoga,50,2025-10-17 19:00:00
bryan.parker-carter180@example.com,Tennis,25,2025-10-18 19:00:00
bryan.parker-carter180@example.com,Stretching,41,2025-10-20 19:00:00
bryan.parker-carter180@example.com,Study Break,35,2025-10-24 19:00:00
bryan.parker-carter180@example.com,Tennis,38,2025-10-25 19:00:00
mr.terence.birch795@example.com,Walk,54,2025-07-27 19:00:00
mr.terence.birch795@example.com,Tennis,45,2025-07-28 19:00:00
mr.terence.birch795@example.com,Stretching,23,2025-08-01 19:00:00
mr.terence.birch795@example.com,Gym,32,2025-08-03 19:00:00
mr.terence.birch795@example.com,Stretching,11,2025-08-04 19:00:00
mr.terence.birch795@example.com,Yoga,51,2025-08-06 19:00:00
mr.terence.birch795@example.com,Walk,31,2025-08-07 19:00:00
mr.terence.birch795@example.com,Walk,31,2025-08-08 19:00:00
mr.terence.birch795@example.com,Stretching,35,2025-08-09 19:00:00
mr.terence.birch795@example.com,Walk,10,2025-08-13 19:00:00
mr.terence.birch795@example.com,Yoga,34,2025-08-14 19:00:00
mr.terence.birch795@example.com,Study Break,21,2025-08-15 19:00:00
mr.terence.birch795@example.com,Walk,48,2025-08-16 19:00:00
mr.terence.birch795@example.com,Stretching,46,2025-08-17 19:00:00
mr.terence.birch795@example.com,Study Break,44,2025-08-18 19:00:00
mr.terence.birch795@example.com,Study Break,35,2025-08-23 19:00:00
mr.terence.birch795@example.com,Run,29,2025-08-24 19:00:00
mr.terence.birch795@example.com,Run,47,2025-08-26 19:00:00
mr.terence.birch795@example.com,Tennis,38,2025-08-27 19:00:00
mr.terence.birch795@example.com,Walk,45,2025-08-30 19:00:00
mr.terence.birch795@example.com,Run,18,2025-08-31 19:00:00
mr.terence.birch795@example.com,Walk,40,2025-09-01 19:00:00
mr.terence.birch795@example.com,Gym,32,2025-09-02 19:00:00
mr.terence.birch795@example.com,Stretching,28,2025-09-04 19:00:00
mr.terence.birch795@example.com,Cycling,30,2025-09-06 19:00:00
mr.terence.birch795@example.com,Cycling,56,2025-09-07 19:00:00
mr.terence.birch795@example.com,Stretching,40,2025-09-08 19:00:00
mr.terence.birch795@example.com,Cycling,13,2025-09-10 19:00:00
mr.terence.birch795@example.com,Run,25,2025-09-11 19:00:00
mr.terence.birch795@example.com,Meditation,39,2025-09-12 19:00:00
mr.terence.birch795@example.com,Cycling,43,2025-09-13 19:00:00
mr.terence.birch795@example.com,Walk,20,2025-09-15 19:00:00
mr.terence.birch795@example.com,Stretching,33,2025-09-16 19:00:00
mr.terence.birch795@example.com,Tennis,26,2025-09-17 19:00:00
mr.terence.birch795@example.com,Stretching,25,2025-09-18 19:00:00
mr.terence.birch795@example.com,Run,49,2025-09-20 19:00:00
mr.terence.birch795@example.com,Yoga,35,2025-09-23 19:00:00
mr.terence.birch795@example.com,Stretching,44,2025-09-25 19:00:00
mr.terence.birch795@example.com,Meditation,40,2025-09-26 19:00:00
mr.terence.birch795@example.com,Run,52,2025-09-27 19:00:00
mr.terence.birch795@example.com,Study Break,40,2025-09-28 19:00:00
mr.terence.birch795@example.com,Yoga,14,2025-09-29 19:00:00
mr.terence.birch795@example.com,Yoga,38,2025-09-30 19:00:00
mr.terence.birch795@example.com,Study Break,50,2025-10-01 19:00:00
mr.terence.birch795@example.com,Meditation,36,2025-10-03 19:00:00
mr.terence.birch795@example.com,Stretching,57,2025-10-05 19:00:00
mr.terence.birch795@example.com,Meditation,48,2025-10-06 19:00:00
mr.terence.birch795@example.com,Cycling,19,2025-10-07 19:00:00
mr.terence.birch795@example.com,Cycling,30,2025-10-08 19:00:00
mr.terence.birch795@example.com,Tennis,38,2025-10-09 19:00:00
mr.terence.birch795@example.com,Yoga,39,2025-10-10 19:00:00
mr.terence.birch795@example.com,Tennis,36,2025-10-11 19:00:00
mr.terence.birch795@example.com,Cycling,31,2025-10-12 19:00:00
mr.terence.birch795@example.com,Cycling,31,2025-10-14 19:00:00
mr.terence.birch795@example.com,Gym,25,2025-10-15 19:00:00
mr.terence.birch795@example.com,Tennis,50,2025-10-16 19:00:00
mr.terence.birch795@example.com,Tennis,10,2025-10-17 19:00:00
mr.terence.birch795@example.com,Yoga,17,2025-10-18 19:00:00
mr.terence.birch795@example.com,Run,50,2025-10-21 19:00:00
mr.terence.birch795@example.com,Stretching,10,2025-10-22 19:00:00
mr.terence.birch795@example.com,Walk,10,2025-10-24 19:00:00
robert.ryan573@example.com,Walk,60,2025-07-27 19:00:00
robert.ryan573@example.com,Tennis,37,2025-07-28 19:00:00
robert.ryan573@example.com,Study Break,58,2025-07-31 19:00:00
robert.ryan573@example.com,Stretching,20,2025-08-02 19:00:00
robert.ryan573@example.com,Yoga,16,2025-08-03 19:00:00
robert.ryan573@example.com,Gym,40,2025-08-04 19:00:00
robert.ryan573@example.com,Tennis,35,2025-08-05 19:00:00
robert.ryan573@example.com,Walk,42,2025-08-06 19:00:00
