UserEmail,AlertType,AlertMessage,Acknowledged,CreatedAt
mr.terence.birch795@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-10-02 22:00:00
robert.ryan573@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-08 22:00:00
robert.ryan573@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-15 22:00:00
robert.ryan573@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-06 22:00:00
robert.ryan573@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-13 22:00:00
robert.ryan573@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-10-04 22:00:00
bryan.williams977@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-08 22:00:00
dr.joshua.lewis304@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-12 22:00:00
dr.edward.holmes248@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-15 22:00:00
dr.edward.holmes248@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-06 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-07-31 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-16 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-28 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-06 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-19 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-21 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-26 22:00:00
oliver.owen783@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-29 22:00:00
alan.moore929@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-07-27 22:00:00
alan.moore929@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-01 22:00:00
alan.moore929@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-26 22:00:00
alan.moore929@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-10-19 22:00:00
amelia.pearce769@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-29 22:00:00
jean.taylor815@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-01 22:00:00
jean.taylor815@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-31 22:00:00
jean.taylor815@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-25 22:00:00
jean.taylor815@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-10-13 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-07-28 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-01 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-14 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-08 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-30 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-10-09 22:00:00
lorraine.hughes491@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-10-23 22:00:00
carol.lewis279@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-02 22:00:00
carol.lewis279@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-31 22:00:00
carol.lewis279@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-25 22:00:00
carol.lewis279@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-09-27 22:00:00
carol.lewis279@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-10-11 22:00:00
alan.marsh495@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-08-08 22:00:00
alan.marsh495@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-08-22 22:00:00
alan.marsh495@example.com,LowMood,Detected sudden low mood; show support resources.,0,2025-09-12 22:00:00
alan.marsh495@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-10-04 22:00:00
alan.marsh495@example.com,LowMood,Detected sudden low mood; show support resources.,1,2025-10-24 22:00:00
