UserEmail,RecommendationText,GeneratedBy,Accepted,CreatedAt
bryan.parker-carter180@example.com,Digital detox for 30 minutes,rule,1,2025-07-27 09:00:00
bryan.parker-carter180@example.com,Short journaling prompt,rule,0,2025-08-07 09:00:00
bryan.parker-carter180@example.com,Short journaling prompt,rule,0,2025-08-12 09:00:00
bryan.parker-carter180@example.com,10-minute walk outside,rule,0,2025-08-13 09:00:00
bryan.parker-carter180@example.com,Digital detox for 30 minutes,rule,1,2025-08-14 09:00:00
bryan.parker-carter180@example.com,Digital detox for 30 minutes,rule,0,2025-08-15 09:00:00
bryan.parker-carter180@example.com,Early bedtime target +30 mins,rule,0,2025-08-16 09:00:00
bryan.parker-carter180@example.com,Drink water and stretch,rule,0,2025-08-19 09:00:00
bryan.parker-carter180@example.com,Short journaling prompt,rule,0,2025-08-22 09:00:00
bryan.parker-carter180@example.com,Drink water and stretch,model,1,2025-08-30 09:00:00
bryan.parker-carter180@example.com,Drink water and stretch,model,0,2025-09-08 09:00:00
bryan.parker-carter180@example.com,Short journaling prompt,rule,0,2025-09-11 09:00:00
bryan.parker-carter180@example.com,10-minute walk outside,model,1,2025-09-13 09:00:00
bryan.parker-carter180@example.com,Early bedtime target +30 mins,rule,1,2025-09-20 09:00:00
bryan.parker-carter180@example.com,5-minute breathing exercise,rule,1,2025-10-02 09:00:00
bryan.parker-carter180@example.com,5-minute breathing exercise,model,0,2025-10-03 09:00:00
bryan.parker-carter180@example.com,5-minute breathing exercise,rule,0,2025-10-07 09:00:00
bryan.parker-carter180@example.com,Digital detox for 30 minutes,rule,0,2025-10-14 09:00:00
bryan.parker-carter180@example.com,10-minute walk outside,rule,0,2025-10-15 09:00:00
bryan.parker-carter180@example.com,Digital detox for 30 minutes,rule,1,2025-10-20 09:00:00
bryan.parker-carter180@example.com,Drink water and stretch,model,1,2025-10-22 09:00:00
bryan.parker-carter180@example.com,10-minute walk outside,rule,0,2025-10-23 09:00:00
mr.terence.birch795@example.com,5-minute breathing exercise,rule,0,2025-08-04 09:00:00
mr.terence.birch795@example.com,Early bedtime target +30 mins,rule,1,2025-08-07 09:00:00
mr.terence.birch795@example.com,Digital detox for 30 minutes,model,1,2025-08-17 09:00:00
mr.terence.birch795@example.com,Digital detox for 30 minutes,rule,1,2025-08-27 09:00:00
mr.terence.birch795@example.com,Drink water and stretch,model,0,2025-08-28 09:00:00
mr.terence.birch795@example.com,Drink water and stretch,model,1,2025-08-29 09:00:00
mr.terence.birch795@example.com,Drink water and stretch,rule,1,2025-09-03 09:00:00
mr.terence.birch795@example.com,Short journaling prompt,rule,0,2025-09-07 09:00:00
mr.terence.birch795@example.com,Drink water and stretch,rule,1,2025-09-09 09:00:00
mr.terence.birch795@example.com,Short journaling prompt,rule,1,2025-09-14 09:00:00
mr.terence.birch795@example.com,Early bedtime target +30 mins,rule,0,2025-09-19 09:00:00
mr.terence.birch795@example.com,Digital detox for 30 minutes,rule,1,2025-09-21 09:00:00
mr.terence.birch795@example.com,Early bedtime target +30 mins,rule,0,2025-09-23 09:00:00
mr.terence.birch795@example.com,Digital detox for 30 minutes,model,1,2025-09-28 09:00:00
mr.terence.birch795@example.com,Drink water and stretch,rule,1,2025-10-09 09:00:00
mr.terence.birch795@example.com,10-minute walk outside,rule,0,2025-10-10 09:00:00
mr.terence.birch795@example.com,Early bedtime target +30 mins,rule,1,2025-10-11 09:00:00
mr.terence.birch795@example.com,Early bedtime target +30 mins,rule,0,2025-10-12 09:00:00
mr.terence.birch795@example.com,Short journaling prompt,model,0,2025-10-16 09:00:00
